Australian Bureau of Statistics,,,,,,
,,,,,,
"Motor Vehicle Use, 2020",,,,,,
"Year of manufacture groups, Vehicle type and Weighted sum of Kilometres travelled by Use Type",,,,,,
Counting: Weighted sum of Kilometres travelled,,,,,,
,,,,,,
Year of manufacture groups,Vehicle type,Summation Options,Use Type,Count,RSE,Annotations
2004 and earlier,Passenger vehicles,Weighted sum of Kilometres travelled (^),Total,25987.8,8.68,
2004 and earlier,Motor cycles,Weighted sum of Kilometres travelled (^),Total,323,33.91,
2004 and earlier,Light commercial vehicles,Weighted sum of Kilometres travelled (^),Total,8259.2,10.91,
2004 and earlier,Rigid trucks,Weighted sum of Kilometres travelled (^),Total,1852.9,6.96,
2004 and earlier,Articulated trucks,Weighted sum of Kilometres travelled (^),Total,773.8,9.32,
2004 and earlier,Non-freight carrying trucks,Weighted sum of Kilometres travelled (^),Total,31.6,23.1,
2004 and earlier,Buses,Weighted sum of Kilometres travelled (^),Total,291,14.33,
2005 to 2014,Passenger vehicles,Weighted sum of Kilometres travelled (^),Total,83875.2,4.26,
2005 to 2014,Motor cycles,Weighted sum of Kilometres travelled (^),Total,774.6,14.89,
2005 to 2014,Light commercial vehicles,Weighted sum of Kilometres travelled (^),Total,21380.3,5.74,
2005 to 2014,Rigid trucks,Weighted sum of Kilometres travelled (^),Total,4705.5,4.33,
2005 to 2014,Articulated trucks,Weighted sum of Kilometres travelled (^),Total,3333.5,3.31,
2005 to 2014,Non-freight carrying trucks,Weighted sum of Kilometres travelled (^),Total,133.2,18.02,
2005 to 2014,Buses,Weighted sum of Kilometres travelled (^),Total,1176.6,7.85,
2015 and after,Passenger vehicles,Weighted sum of Kilometres travelled (^),Total,53120.3,4.7,
2015 and after,Motor cycles,Weighted sum of Kilometres travelled (^),Total,585.5,18.2,
2015 and after,Light commercial vehicles,Weighted sum of Kilometres travelled (^),Total,22589.3,4.82,
2015 and after,Rigid trucks,Weighted sum of Kilometres travelled (^),Total,4417.1,6.69,
2015 and after,Articulated trucks,Weighted sum of Kilometres travelled (^),Total,4074,2.02,
2015 and after,Non-freight carrying trucks,Weighted sum of Kilometres travelled (^),Total,156.3,18.2,
2015 and after,Buses,Weighted sum of Kilometres travelled (^),Total,658.6,11.69,
Total,Passenger vehicles,Weighted sum of Kilometres travelled (^),Total,162983.3,2.65,
Total,Motor cycles,Weighted sum of Kilometres travelled (^),Total,1683,10.6,
Total,Light commercial vehicles,Weighted sum of Kilometres travelled (^),Total,52228.8,3.25,
Total,Rigid trucks,Weighted sum of Kilometres travelled (^),Total,10975.5,3.15,
Total,Articulated trucks,Weighted sum of Kilometres travelled (^),Total,8181.3,1.84,
Total,Non-freight carrying trucks,Weighted sum of Kilometres travelled (^),Total,321,11.24,
Total,Buses,Weighted sum of Kilometres travelled (^),Total,2126.2,4.77,
,,,,,,
,,,,,,
Symbol,Description,,,,,
^,'000'000,,,,,
,,,,,,
,,,,,,
"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright",,,,,,
"ABS data licensed under Creative Commons, see abs.gov.au/ccby",,,,,,
