Australian Bureau of Statistics,,,,
,,,,
"Motor Vehicle Census, 2018",,,,
Year of manufacture and Vehicle type,,,,
Counting: Vehicle Level,,,,
,,,,
Filters:,,,,
Default Summation,Vehicle Level (#),,,
,,,,
Counting,Year of manufacture,Vehicle type,Count,Annotations
Vehicle Level,1960,Light Rigid Trucks up to 4.5t GVM,10,
Vehicle Level,1960,Heavy Rigid Trucks > 4.5t GVM,99,
Vehicle Level,1960,Prime Movers,3,
Vehicle Level,1960,Buses > 9 seats,0,
Vehicle Level,1961,Light Rigid Trucks up to 4.5t GVM,8,
Vehicle Level,1961,Heavy Rigid Trucks > 4.5t GVM,78,
Vehicle Level,1961,Prime Movers,3,
Vehicle Level,1961,Buses > 9 seats,3,
Vehicle Level,1962,Light Rigid Trucks up to 4.5t GVM,12,
Vehicle Level,1962,Heavy Rigid Trucks > 4.5t GVM,166,
Vehicle Level,1962,Prime Movers,3,
Vehicle Level,1962,Buses > 9 seats,3,
Vehicle Level,1963,Light Rigid Trucks up to 4.5t GVM,28,
Vehicle Level,1963,Heavy Rigid Trucks > 4.5t GVM,225,
Vehicle Level,1963,Prime Movers,5,
Vehicle Level,1963,Buses > 9 seats,3,
Vehicle Level,1964,Light Rigid Trucks up to 4.5t GVM,26,
Vehicle Level,1964,Heavy Rigid Trucks > 4.5t GVM,297,
Vehicle Level,1964,Prime Movers,13,
Vehicle Level,1964,Buses > 9 seats,3,
Vehicle Level,1965,Light Rigid Trucks up to 4.5t GVM,29,
Vehicle Level,1965,Heavy Rigid Trucks > 4.5t GVM,354,
Vehicle Level,1965,Prime Movers,4,
Vehicle Level,1965,Buses > 9 seats,7,
Vehicle Level,1966,Light Rigid Trucks up to 4.5t GVM,23,
Vehicle Level,1966,Heavy Rigid Trucks > 4.5t GVM,396,
Vehicle Level,1966,Prime Movers,18,
Vehicle Level,1966,Buses > 9 seats,3,
Vehicle Level,1967,Light Rigid Trucks up to 4.5t GVM,34,
Vehicle Level,1967,Heavy Rigid Trucks > 4.5t GVM,402,
Vehicle Level,1967,Prime Movers,15,
Vehicle Level,1967,Buses > 9 seats,7,
Vehicle Level,1968,Light Rigid Trucks up to 4.5t GVM,45,
Vehicle Level,1968,Heavy Rigid Trucks > 4.5t GVM,555,
Vehicle Level,1968,Prime Movers,29,
Vehicle Level,1968,Buses > 9 seats,5,
Vehicle Level,1969,Light Rigid Trucks up to 4.5t GVM,48,
Vehicle Level,1969,Heavy Rigid Trucks > 4.5t GVM,553,
Vehicle Level,1969,Prime Movers,44,
Vehicle Level,1969,Buses > 9 seats,3,
Vehicle Level,1970,Light Rigid Trucks up to 4.5t GVM,57,
Vehicle Level,1970,Heavy Rigid Trucks > 4.5t GVM,777,
Vehicle Level,1970,Prime Movers,73,
Vehicle Level,1970,Buses > 9 seats,12,
Vehicle Level,1971,Light Rigid Trucks up to 4.5t GVM,62,
Vehicle Level,1971,Heavy Rigid Trucks > 4.5t GVM,556,
Vehicle Level,1971,Prime Movers,57,
Vehicle Level,1971,Buses > 9 seats,6,
Vehicle Level,1972,Light Rigid Trucks up to 4.5t GVM,76,
Vehicle Level,1972,Heavy Rigid Trucks > 4.5t GVM,662,
Vehicle Level,1972,Prime Movers,52,
Vehicle Level,1972,Buses > 9 seats,15,
Vehicle Level,1973,Light Rigid Trucks up to 4.5t GVM,90,
Vehicle Level,1973,Heavy Rigid Trucks > 4.5t GVM,926,
Vehicle Level,1973,Prime Movers,88,
Vehicle Level,1973,Buses > 9 seats,9,
Vehicle Level,1974,Light Rigid Trucks up to 4.5t GVM,146,
Vehicle Level,1974,Heavy Rigid Trucks > 4.5t GVM,1114,
Vehicle Level,1974,Prime Movers,127,
Vehicle Level,1974,Buses > 9 seats,18,
Vehicle Level,1975,Light Rigid Trucks up to 4.5t GVM,213,
Vehicle Level,1975,Heavy Rigid Trucks > 4.5t GVM,1361,
Vehicle Level,1975,Prime Movers,160,
Vehicle Level,1975,Buses > 9 seats,8,
Vehicle Level,1976,Light Rigid Trucks up to 4.5t GVM,249,
Vehicle Level,1976,Heavy Rigid Trucks > 4.5t GVM,1908,
Vehicle Level,1976,Prime Movers,276,
Vehicle Level,1976,Buses > 9 seats,20,
Vehicle Level,1977,Light Rigid Trucks up to 4.5t GVM,340,
Vehicle Level,1977,Heavy Rigid Trucks > 4.5t GVM,1650,
Vehicle Level,1977,Prime Movers,266,
Vehicle Level,1977,Buses > 9 seats,40,
Vehicle Level,1978,Light Rigid Trucks up to 4.5t GVM,330,
Vehicle Level,1978,Heavy Rigid Trucks > 4.5t GVM,1747,
Vehicle Level,1978,Prime Movers,326,
Vehicle Level,1978,Buses > 9 seats,49,
Vehicle Level,1979,Light Rigid Trucks up to 4.5t GVM,333,
Vehicle Level,1979,Heavy Rigid Trucks > 4.5t GVM,2064,
Vehicle Level,1979,Prime Movers,419,
Vehicle Level,1979,Buses > 9 seats,45,
Vehicle Level,1980,Light Rigid Trucks up to 4.5t GVM,294,
Vehicle Level,1980,Heavy Rigid Trucks > 4.5t GVM,2725,
Vehicle Level,1980,Prime Movers,440,
Vehicle Level,1980,Buses > 9 seats,85,
Vehicle Level,1981,Light Rigid Trucks up to 4.5t GVM,382,
Vehicle Level,1981,Heavy Rigid Trucks > 4.5t GVM,3017,
Vehicle Level,1981,Prime Movers,440,
Vehicle Level,1981,Buses > 9 seats,75,
Vehicle Level,1982,Light Rigid Trucks up to 4.5t GVM,387,
Vehicle Level,1982,Heavy Rigid Trucks > 4.5t GVM,2781,
Vehicle Level,1982,Prime Movers,330,
Vehicle Level,1982,Buses > 9 seats,113,
Vehicle Level,1983,Light Rigid Trucks up to 4.5t GVM,287,
Vehicle Level,1983,Heavy Rigid Trucks > 4.5t GVM,2418,
Vehicle Level,1983,Prime Movers,244,
Vehicle Level,1983,Buses > 9 seats,134,
Vehicle Level,1984,Light Rigid Trucks up to 4.5t GVM,583,
Vehicle Level,1984,Heavy Rigid Trucks > 4.5t GVM,4130,
Vehicle Level,1984,Prime Movers,480,
Vehicle Level,1984,Buses > 9 seats,241,
Vehicle Level,1985,Light Rigid Trucks up to 4.5t GVM,903,
Vehicle Level,1985,Heavy Rigid Trucks > 4.5t GVM,6360,
Vehicle Level,1985,Prime Movers,765,
Vehicle Level,1985,Buses > 9 seats,315,
Vehicle Level,1986,Light Rigid Trucks up to 4.5t GVM,761,
Vehicle Level,1986,Heavy Rigid Trucks > 4.5t GVM,4775,
Vehicle Level,1986,Prime Movers,626,
Vehicle Level,1986,Buses > 9 seats,326,
Vehicle Level,1987,Light Rigid Trucks up to 4.5t GVM,781,
Vehicle Level,1987,Heavy Rigid Trucks > 4.5t GVM,4184,
Vehicle Level,1987,Prime Movers,573,
Vehicle Level,1987,Buses > 9 seats,380,
Vehicle Level,1988,Light Rigid Trucks up to 4.5t GVM,1458,
Vehicle Level,1988,Heavy Rigid Trucks > 4.5t GVM,6177,
Vehicle Level,1988,Prime Movers,910,
Vehicle Level,1988,Buses > 9 seats,535,
Vehicle Level,1989,Light Rigid Trucks up to 4.5t GVM,1509,
Vehicle Level,1989,Heavy Rigid Trucks > 4.5t GVM,6659,
Vehicle Level,1989,Prime Movers,945,
Vehicle Level,1989,Buses > 9 seats,685,
Vehicle Level,1990,Light Rigid Trucks up to 4.5t GVM,1420,
Vehicle Level,1990,Heavy Rigid Trucks > 4.5t GVM,6029,
Vehicle Level,1990,Prime Movers,843,
Vehicle Level,1990,Buses > 9 seats,930,
Vehicle Level,1991,Light Rigid Trucks up to 4.5t GVM,1045,
Vehicle Level,1991,Heavy Rigid Trucks > 4.5t GVM,3951,
Vehicle Level,1991,Prime Movers,367,
Vehicle Level,1991,Buses > 9 seats,977,
Vehicle Level,1992,Light Rigid Trucks up to 4.5t GVM,1300,
Vehicle Level,1992,Heavy Rigid Trucks > 4.5t GVM,4782,
Vehicle Level,1992,Prime Movers,545,
Vehicle Level,1992,Buses > 9 seats,1317,
Vehicle Level,1993,Light Rigid Trucks up to 4.5t GVM,1327,
Vehicle Level,1993,Heavy Rigid Trucks > 4.5t GVM,4906,
Vehicle Level,1993,Prime Movers,1041,
Vehicle Level,1993,Buses > 9 seats,1460,
Vehicle Level,1994,Light Rigid Trucks up to 4.5t GVM,1659,
Vehicle Level,1994,Heavy Rigid Trucks > 4.5t GVM,6476,
Vehicle Level,1994,Prime Movers,1674,
Vehicle Level,1994,Buses > 9 seats,1924,
Vehicle Level,1995,Light Rigid Trucks up to 4.5t GVM,1790,
Vehicle Level,1995,Heavy Rigid Trucks > 4.5t GVM,5814,
Vehicle Level,1995,Prime Movers,1587,
Vehicle Level,1995,Buses > 9 seats,1991,
Vehicle Level,1996,Light Rigid Trucks up to 4.5t GVM,1617,
Vehicle Level,1996,Heavy Rigid Trucks > 4.5t GVM,5542,
Vehicle Level,1996,Prime Movers,1410,
Vehicle Level,1996,Buses > 9 seats,1855,
Vehicle Level,1997,Light Rigid Trucks up to 4.5t GVM,1850,
Vehicle Level,1997,Heavy Rigid Trucks > 4.5t GVM,6439,
Vehicle Level,1997,Prime Movers,1729,
Vehicle Level,1997,Buses > 9 seats,2102,
Vehicle Level,1998,Light Rigid Trucks up to 4.5t GVM,2557,
Vehicle Level,1998,Heavy Rigid Trucks > 4.5t GVM,8021,
Vehicle Level,1998,Prime Movers,2209,
Vehicle Level,1998,Buses > 9 seats,2583,
Vehicle Level,1999,Light Rigid Trucks up to 4.5t GVM,3063,
Vehicle Level,1999,Heavy Rigid Trucks > 4.5t GVM,7836,
Vehicle Level,1999,Prime Movers,2010,
Vehicle Level,1999,Buses > 9 seats,2643,
Vehicle Level,2000,Light Rigid Trucks up to 4.5t GVM,3283,
Vehicle Level,2000,Heavy Rigid Trucks > 4.5t GVM,7742,
Vehicle Level,2000,Prime Movers,1874,
Vehicle Level,2000,Buses > 9 seats,3262,
Vehicle Level,2001,Light Rigid Trucks up to 4.5t GVM,4013,
Vehicle Level,2001,Heavy Rigid Trucks > 4.5t GVM,7395,
Vehicle Level,2001,Prime Movers,1828,
Vehicle Level,2001,Buses > 9 seats,2569,
Vehicle Level,2002,Light Rigid Trucks up to 4.5t GVM,6093,
Vehicle Level,2002,Heavy Rigid Trucks > 4.5t GVM,10482,
Vehicle Level,2002,Prime Movers,2607,
Vehicle Level,2002,Buses > 9 seats,2616,
Vehicle Level,2003,Light Rigid Trucks up to 4.5t GVM,4850,
Vehicle Level,2003,Heavy Rigid Trucks > 4.5t GVM,9819,
Vehicle Level,2003,Prime Movers,3454,
Vehicle Level,2003,Buses > 9 seats,2775,
Vehicle Level,2004,Light Rigid Trucks up to 4.5t GVM,6625,
Vehicle Level,2004,Heavy Rigid Trucks > 4.5t GVM,13465,
Vehicle Level,2004,Prime Movers,4176,
Vehicle Level,2004,Buses > 9 seats,2666,
Vehicle Level,2005,Light Rigid Trucks up to 4.5t GVM,7581,
Vehicle Level,2005,Heavy Rigid Trucks > 4.5t GVM,13821,
Vehicle Level,2005,Prime Movers,4474,
Vehicle Level,2005,Buses > 9 seats,3883,
Vehicle Level,2006,Light Rigid Trucks up to 4.5t GVM,6417,
Vehicle Level,2006,Heavy Rigid Trucks > 4.5t GVM,15065,
Vehicle Level,2006,Prime Movers,4359,
Vehicle Level,2006,Buses > 9 seats,4323,
Vehicle Level,2007,Light Rigid Trucks up to 4.5t GVM,7651,
Vehicle Level,2007,Heavy Rigid Trucks > 4.5t GVM,20734,
Vehicle Level,2007,Prime Movers,7759,
Vehicle Level,2007,Buses > 9 seats,4699,
Vehicle Level,2008,Light Rigid Trucks up to 4.5t GVM,7976,
Vehicle Level,2008,Heavy Rigid Trucks > 4.5t GVM,14516,
Vehicle Level,2008,Prime Movers,3858,
Vehicle Level,2008,Buses > 9 seats,6255,
Vehicle Level,2009,Light Rigid Trucks up to 4.5t GVM,6025,
Vehicle Level,2009,Heavy Rigid Trucks > 4.5t GVM,12585,
Vehicle Level,2009,Prime Movers,3010,
Vehicle Level,2009,Buses > 9 seats,4747,
Vehicle Level,2010,Light Rigid Trucks up to 4.5t GVM,8670,
Vehicle Level,2010,Heavy Rigid Trucks > 4.5t GVM,15433,
Vehicle Level,2010,Prime Movers,5470,
Vehicle Level,2010,Buses > 9 seats,5436,
Vehicle Level,2011,Light Rigid Trucks up to 4.5t GVM,5940,
Vehicle Level,2011,Heavy Rigid Trucks > 4.5t GVM,9802,
Vehicle Level,2011,Prime Movers,3260,
Vehicle Level,2011,Buses > 9 seats,5818,
Vehicle Level,2012,Light Rigid Trucks up to 4.5t GVM,7771,
Vehicle Level,2012,Heavy Rigid Trucks > 4.5t GVM,13604,
Vehicle Level,2012,Prime Movers,5616,
Vehicle Level,2012,Buses > 9 seats,5305,
Vehicle Level,2013,Light Rigid Trucks up to 4.5t GVM,7775,
Vehicle Level,2013,Heavy Rigid Trucks > 4.5t GVM,12125,
Vehicle Level,2013,Prime Movers,6139,
Vehicle Level,2013,Buses > 9 seats,4494,
Vehicle Level,2014,Light Rigid Trucks up to 4.5t GVM,8253,
Vehicle Level,2014,Heavy Rigid Trucks > 4.5t GVM,12567,
Vehicle Level,2014,Prime Movers,5848,
Vehicle Level,2014,Buses > 9 seats,4958,
Vehicle Level,2015,Light Rigid Trucks up to 4.5t GVM,9242,
Vehicle Level,2015,Heavy Rigid Trucks > 4.5t GVM,13167,
Vehicle Level,2015,Prime Movers,4991,
Vehicle Level,2015,Buses > 9 seats,4837,
Vehicle Level,2016,Light Rigid Trucks up to 4.5t GVM,10319,
Vehicle Level,2016,Heavy Rigid Trucks > 4.5t GVM,13236,
Vehicle Level,2016,Prime Movers,4923,
Vehicle Level,2016,Buses > 9 seats,4427,
Vehicle Level,2017,Light Rigid Trucks up to 4.5t GVM,11676,
Vehicle Level,2017,Heavy Rigid Trucks > 4.5t GVM,11670,
Vehicle Level,2017,Prime Movers,5783,
Vehicle Level,2017,Buses > 9 seats,4364,
Vehicle Level,2018,Light Rigid Trucks up to 4.5t GVM,180,
Vehicle Level,2018,Heavy Rigid Trucks > 4.5t GVM,68,
Vehicle Level,2018,Prime Movers,75,
Vehicle Level,2018,Buses > 9 seats,143,
Vehicle Level,2019,Light Rigid Trucks up to 4.5t GVM,0,
Vehicle Level,2019,Heavy Rigid Trucks > 4.5t GVM,0,
Vehicle Level,2019,Prime Movers,0,
Vehicle Level,2019,Buses > 9 seats,0,
Vehicle Level,2020,Light Rigid Trucks up to 4.5t GVM,0,
Vehicle Level,2020,Heavy Rigid Trucks > 4.5t GVM,0,
Vehicle Level,2020,Prime Movers,0,
Vehicle Level,2020,Buses > 9 seats,0,
Vehicle Level,2021,Light Rigid Trucks up to 4.5t GVM,0,
Vehicle Level,2021,Heavy Rigid Trucks > 4.5t GVM,0,
Vehicle Level,2021,Prime Movers,0,
Vehicle Level,2021,Buses > 9 seats,0,
Vehicle Level,Not stated,Light Rigid Trucks up to 4.5t GVM,350,
Vehicle Level,Not stated,Heavy Rigid Trucks > 4.5t GVM,331,
Vehicle Level,Not stated,Prime Movers,32,
Vehicle Level,Not stated,Buses > 9 seats,19,
Vehicle Level,Total,Light Rigid Trucks up to 4.5t GVM,157854,
Vehicle Level,Total,Heavy Rigid Trucks > 4.5t GVM,346524,
Vehicle Level,Total,Prime Movers,100687,
Vehicle Level,Total,Buses > 9 seats,98525,
,,,,
,,,,
INFO,Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,,,
INFO,Continuous variables in this table have been randomly adjusted to avoid the release of confidential data.,,,
,,,,
,,,,
Symbol,Description,,,
#,No scaling applied,,,
,,,,
,,,,
"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright",,,,
"ABS data licensed under Creative Commons, see abs.gov.au/ccby",,,,
