Australian Bureau of Statistics,,,,
,,,,
"Motor Vehicle Census, 2015",,,,
"Year of Manufacture, Vehicle type and Vehicles",,,,
Counting: Vehicles,,,,
,,,,
Year of Manufacture,Vehicle type,Counting,Count,Annotations
1960,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),11,
1960,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),134,
1960,Prime Movers,Vehicles (#),0,
1960,Buses > 9 seats,Vehicles (#),0,
1960,Tow Trucks,Vehicles (#),0,
1960,Fire Appliances,Vehicles (#),8,
1960,Trucks with Machinery Mounted,Vehicles (#),3,
1960,Other Non Freight Carrying Trucks,Vehicles (#),0,
1961,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),11,
1961,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),108,
1961,Prime Movers,Vehicles (#),3,
1961,Buses > 9 seats,Vehicles (#),3,
1961,Tow Trucks,Vehicles (#),0,
1961,Fire Appliances,Vehicles (#),3,
1961,Trucks with Machinery Mounted,Vehicles (#),0,
1961,Other Non Freight Carrying Trucks,Vehicles (#),0,
1962,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),15,
1962,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),208,
1962,Prime Movers,Vehicles (#),5,
1962,Buses > 9 seats,Vehicles (#),3,
1962,Tow Trucks,Vehicles (#),0,
1962,Fire Appliances,Vehicles (#),20,
1962,Trucks with Machinery Mounted,Vehicles (#),0,
1962,Other Non Freight Carrying Trucks,Vehicles (#),0,
1963,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),27,
1963,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),315,
1963,Prime Movers,Vehicles (#),5,
1963,Buses > 9 seats,Vehicles (#),3,
1963,Tow Trucks,Vehicles (#),0,
1963,Fire Appliances,Vehicles (#),13,
1963,Trucks with Machinery Mounted,Vehicles (#),0,
1963,Other Non Freight Carrying Trucks,Vehicles (#),3,
1964,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),31,
1964,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),403,
1964,Prime Movers,Vehicles (#),20,
1964,Buses > 9 seats,Vehicles (#),3,
1964,Tow Trucks,Vehicles (#),0,
1964,Fire Appliances,Vehicles (#),17,
1964,Trucks with Machinery Mounted,Vehicles (#),3,
1964,Other Non Freight Carrying Trucks,Vehicles (#),0,
1965,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),39,
1965,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),460,
1965,Prime Movers,Vehicles (#),5,
1965,Buses > 9 seats,Vehicles (#),6,
1965,Tow Trucks,Vehicles (#),0,
1965,Fire Appliances,Vehicles (#),27,
1965,Trucks with Machinery Mounted,Vehicles (#),3,
1965,Other Non Freight Carrying Trucks,Vehicles (#),0,
1966,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),35,
1966,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),503,
1966,Prime Movers,Vehicles (#),21,
1966,Buses > 9 seats,Vehicles (#),6,
1966,Tow Trucks,Vehicles (#),3,
1966,Fire Appliances,Vehicles (#),11,
1966,Trucks with Machinery Mounted,Vehicles (#),0,
1966,Other Non Freight Carrying Trucks,Vehicles (#),0,
1967,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),55,
1967,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),542,
1967,Prime Movers,Vehicles (#),20,
1967,Buses > 9 seats,Vehicles (#),6,
1967,Tow Trucks,Vehicles (#),5,
1967,Fire Appliances,Vehicles (#),26,
1967,Trucks with Machinery Mounted,Vehicles (#),5,
1967,Other Non Freight Carrying Trucks,Vehicles (#),0,
1968,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),57,
1968,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),760,
1968,Prime Movers,Vehicles (#),41,
1968,Buses > 9 seats,Vehicles (#),12,
1968,Tow Trucks,Vehicles (#),5,
1968,Fire Appliances,Vehicles (#),23,
1968,Trucks with Machinery Mounted,Vehicles (#),4,
1968,Other Non Freight Carrying Trucks,Vehicles (#),0,
1969,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),62,
1969,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),751,
1969,Prime Movers,Vehicles (#),50,
1969,Buses > 9 seats,Vehicles (#),3,
1969,Tow Trucks,Vehicles (#),3,
1969,Fire Appliances,Vehicles (#),28,
1969,Trucks with Machinery Mounted,Vehicles (#),11,
1969,Other Non Freight Carrying Trucks,Vehicles (#),3,
1970,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),78,
1970,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),1048,
1970,Prime Movers,Vehicles (#),83,
1970,Buses > 9 seats,Vehicles (#),16,
1970,Tow Trucks,Vehicles (#),15,
1970,Fire Appliances,Vehicles (#),40,
1970,Trucks with Machinery Mounted,Vehicles (#),7,
1970,Other Non Freight Carrying Trucks,Vehicles (#),0,
1971,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),77,
1971,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),728,
1971,Prime Movers,Vehicles (#),70,
1971,Buses > 9 seats,Vehicles (#),13,
1971,Tow Trucks,Vehicles (#),5,
1971,Fire Appliances,Vehicles (#),39,
1971,Trucks with Machinery Mounted,Vehicles (#),6,
1971,Other Non Freight Carrying Trucks,Vehicles (#),3,
1972,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),102,
1972,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),866,
1972,Prime Movers,Vehicles (#),66,
1972,Buses > 9 seats,Vehicles (#),26,
1972,Tow Trucks,Vehicles (#),10,
1972,Fire Appliances,Vehicles (#),27,
1972,Trucks with Machinery Mounted,Vehicles (#),10,
1972,Other Non Freight Carrying Trucks,Vehicles (#),0,
1973,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),108,
1973,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),1245,
1973,Prime Movers,Vehicles (#),128,
1973,Buses > 9 seats,Vehicles (#),10,
1973,Tow Trucks,Vehicles (#),4,
1973,Fire Appliances,Vehicles (#),17,
1973,Trucks with Machinery Mounted,Vehicles (#),13,
1973,Other Non Freight Carrying Trucks,Vehicles (#),0,
1974,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),205,
1974,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),1516,
1974,Prime Movers,Vehicles (#),186,
1974,Buses > 9 seats,Vehicles (#),22,
1974,Tow Trucks,Vehicles (#),15,
1974,Fire Appliances,Vehicles (#),34,
1974,Trucks with Machinery Mounted,Vehicles (#),6,
1974,Other Non Freight Carrying Trucks,Vehicles (#),3,
1975,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),253,
1975,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),1817,
1975,Prime Movers,Vehicles (#),235,
1975,Buses > 9 seats,Vehicles (#),25,
1975,Tow Trucks,Vehicles (#),31,
1975,Fire Appliances,Vehicles (#),33,
1975,Trucks with Machinery Mounted,Vehicles (#),10,
1975,Other Non Freight Carrying Trucks,Vehicles (#),3,
1976,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),321,
1976,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),2562,
1976,Prime Movers,Vehicles (#),374,
1976,Buses > 9 seats,Vehicles (#),30,
1976,Tow Trucks,Vehicles (#),22,
1976,Fire Appliances,Vehicles (#),36,
1976,Trucks with Machinery Mounted,Vehicles (#),27,
1976,Other Non Freight Carrying Trucks,Vehicles (#),0,
1977,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),440,
1977,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),2217,
1977,Prime Movers,Vehicles (#),380,
1977,Buses > 9 seats,Vehicles (#),48,
1977,Tow Trucks,Vehicles (#),51,
1977,Fire Appliances,Vehicles (#),25,
1977,Trucks with Machinery Mounted,Vehicles (#),24,
1977,Other Non Freight Carrying Trucks,Vehicles (#),4,
1978,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),458,
1978,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),2333,
1978,Prime Movers,Vehicles (#),476,
1978,Buses > 9 seats,Vehicles (#),82,
1978,Tow Trucks,Vehicles (#),62,
1978,Fire Appliances,Vehicles (#),29,
1978,Trucks with Machinery Mounted,Vehicles (#),33,
1978,Other Non Freight Carrying Trucks,Vehicles (#),8,
1979,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),442,
1979,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),2692,
1979,Prime Movers,Vehicles (#),603,
