Australian Bureau of Statistics,,,,,,
,,,,,,
"Motor Vehicle Use, 2018",,,,,,
Vehicle type and Year of manufacture groups by Use Type and Weighted sum of Kilometres travelled,,,,,,
Counting: Weighted sum of Kilometres travelled,,,,,,
,,,,,,
Vehicle type,Year of manufacture groups,Use Type,Summation Options,Count,RSE,Annotations
Rigid trucks,2002 and earlier,Total,Weighted sum of Kilometres travelled (^),1673.9,8.36,
Rigid trucks,2002 and earlier,Area of operation in capital city,Weighted sum of Kilometres travelled (^),744.1,10.6,
Rigid trucks,2002 and earlier,Area of operation in other urban areas,Weighted sum of Kilometres travelled (^),378.6,17.12,
Rigid trucks,2002 and earlier,Area of operation in other areas,Weighted sum of Kilometres travelled (^),439.7,12.43,
Rigid trucks,2003 to 2012,Total,Weighted sum of Kilometres travelled (^),4829.1,3.91,
Rigid trucks,2003 to 2012,Area of operation in capital city,Weighted sum of Kilometres travelled (^),2383.8,6.13,
Rigid trucks,2003 to 2012,Area of operation in other urban areas,Weighted sum of Kilometres travelled (^),911.3,12.11,
Rigid trucks,2003 to 2012,Area of operation in other areas,Weighted sum of Kilometres travelled (^),1313.3,7.1,
Rigid trucks,2013 and after,Total,Weighted sum of Kilometres travelled (^),3770.7,4.34,
Rigid trucks,2013 and after,Area of operation in capital city,Weighted sum of Kilometres travelled (^),2185.3,6.42,
Rigid trucks,2013 and after,Area of operation in other urban areas,Weighted sum of Kilometres travelled (^),605.8,12.24,
Rigid trucks,2013 and after,Area of operation in other areas,Weighted sum of Kilometres travelled (^),787.6,12.29,
Articulated trucks,2002 and earlier,Total,Weighted sum of Kilometres travelled (^),692.3,9.26,
Articulated trucks,2002 and earlier,Area of operation in capital city,Weighted sum of Kilometres travelled (^),165.9,17.59,
Articulated trucks,2002 and earlier,Area of operation in other urban areas,Weighted sum of Kilometres travelled (^),56.3,21.79,
Articulated trucks,2002 and earlier,Area of operation in other areas,Weighted sum of Kilometres travelled (^),391.3,11.89,
Articulated trucks,2003 to 2012,Total,Weighted sum of Kilometres travelled (^),3391.8,3.5,
Articulated trucks,2003 to 2012,Area of operation in capital city,Weighted sum of Kilometres travelled (^),793.4,7.36,
Articulated trucks,2003 to 2012,Area of operation in other urban areas,Weighted sum of Kilometres travelled (^),332.5,10.84,
Articulated trucks,2003 to 2012,Area of operation in other areas,Weighted sum of Kilometres travelled (^),1608.9,4.6,
Articulated trucks,2013 and after,Total,Weighted sum of Kilometres travelled (^),3832.9,2,
Articulated trucks,2013 and after,Area of operation in capital city,Weighted sum of Kilometres travelled (^),675.8,5.77,
Articulated trucks,2013 and after,Area of operation in other urban areas,Weighted sum of Kilometres travelled (^),394.7,7.66,
Articulated trucks,2013 and after,Area of operation in other areas,Weighted sum of Kilometres travelled (^),1591.9,3.98,
Non-freight carrying trucks,2002 and earlier,Total,Weighted sum of Kilometres travelled (^),33.4,22.87,
Non-freight carrying trucks,2002 and earlier,Area of operation in capital city,Weighted sum of Kilometres travelled (^),14.3,46.08,
Non-freight carrying trucks,2002 and earlier,Area of operation in other urban areas,Weighted sum of Kilometres travelled (^),3.2,44.54,
Non-freight carrying trucks,2002 and earlier,Area of operation in other areas,Weighted sum of Kilometres travelled (^),14.4,26.28,
Non-freight carrying trucks,2003 to 2012,Total,Weighted sum of Kilometres travelled (^),94,17.79,
Non-freight carrying trucks,2003 to 2012,Area of operation in capital city,Weighted sum of Kilometres travelled (^),40,29.66,
Non-freight carrying trucks,2003 to 2012,Area of operation in other urban areas,Weighted sum of Kilometres travelled (^),18.3,34.01,
