Australian Bureau of Statistics,,,,
,,,,
"Motor Vehicle Census, 2019",,,,
Year of manufacture and Vehicle type,,,,
Counting: Vehicle Level,,,,
,,,,
Filters:,,,,
Default Summation,Vehicle Level (#),,,
,,,,
Counting,Year of manufacture,Vehicle type,Count,Annotations
Vehicle Level,1960,Light Rigid Trucks up to 4.5t GVM,14,
Vehicle Level,1960,Heavy Rigid Trucks > 4.5t GVM,86,
Vehicle Level,1960,Prime Movers,0,
Vehicle Level,1960,Buses > 9 seats,3,
Vehicle Level,1961,Light Rigid Trucks up to 4.5t GVM,12,
Vehicle Level,1961,Heavy Rigid Trucks > 4.5t GVM,73,
Vehicle Level,1961,Prime Movers,3,
Vehicle Level,1961,Buses > 9 seats,3,
Vehicle Level,1962,Light Rigid Trucks up to 4.5t GVM,14,
Vehicle Level,1962,Heavy Rigid Trucks > 4.5t GVM,147,
Vehicle Level,1962,Prime Movers,3,
Vehicle Level,1962,Buses > 9 seats,3,
Vehicle Level,1963,Light Rigid Trucks up to 4.5t GVM,19,
Vehicle Level,1963,Heavy Rigid Trucks > 4.5t GVM,203,
Vehicle Level,1963,Prime Movers,6,
Vehicle Level,1963,Buses > 9 seats,3,
Vehicle Level,1964,Light Rigid Trucks up to 4.5t GVM,25,
Vehicle Level,1964,Heavy Rigid Trucks > 4.5t GVM,257,
Vehicle Level,1964,Prime Movers,17,
Vehicle Level,1964,Buses > 9 seats,0,
Vehicle Level,1965,Light Rigid Trucks up to 4.5t GVM,26,
Vehicle Level,1965,Heavy Rigid Trucks > 4.5t GVM,316,
Vehicle Level,1965,Prime Movers,3,
Vehicle Level,1965,Buses > 9 seats,5,
Vehicle Level,1966,Light Rigid Trucks up to 4.5t GVM,19,
Vehicle Level,1966,Heavy Rigid Trucks > 4.5t GVM,361,
Vehicle Level,1966,Prime Movers,11,
Vehicle Level,1966,Buses > 9 seats,6,
Vehicle Level,1967,Light Rigid Trucks up to 4.5t GVM,37,
Vehicle Level,1967,Heavy Rigid Trucks > 4.5t GVM,369,
Vehicle Level,1967,Prime Movers,15,
Vehicle Level,1967,Buses > 9 seats,10,
Vehicle Level,1968,Light Rigid Trucks up to 4.5t GVM,45,
Vehicle Level,1968,Heavy Rigid Trucks > 4.5t GVM,490,
Vehicle Level,1968,Prime Movers,28,
Vehicle Level,1968,Buses > 9 seats,6,
Vehicle Level,1969,Light Rigid Trucks up to 4.5t GVM,47,
Vehicle Level,1969,Heavy Rigid Trucks > 4.5t GVM,495,
Vehicle Level,1969,Prime Movers,35,
Vehicle Level,1969,Buses > 9 seats,3,
Vehicle Level,1970,Light Rigid Trucks up to 4.5t GVM,60,
Vehicle Level,1970,Heavy Rigid Trucks > 4.5t GVM,699,
Vehicle Level,1970,Prime Movers,65,
Vehicle Level,1970,Buses > 9 seats,12,
Vehicle Level,1971,Light Rigid Trucks up to 4.5t GVM,61,
Vehicle Level,1971,Heavy Rigid Trucks > 4.5t GVM,487,
Vehicle Level,1971,Prime Movers,51,
Vehicle Level,1971,Buses > 9 seats,5,
Vehicle Level,1972,Light Rigid Trucks up to 4.5t GVM,77,
Vehicle Level,1972,Heavy Rigid Trucks > 4.5t GVM,591,
Vehicle Level,1972,Prime Movers,43,
Vehicle Level,1972,Buses > 9 seats,14,
Vehicle Level,1973,Light Rigid Trucks up to 4.5t GVM,82,
Vehicle Level,1973,Heavy Rigid Trucks > 4.5t GVM,825,
Vehicle Level,1973,Prime Movers,78,
Vehicle Level,1973,Buses > 9 seats,9,
Vehicle Level,1974,Light Rigid Trucks up to 4.5t GVM,136,
Vehicle Level,1974,Heavy Rigid Trucks > 4.5t GVM,1007,
Vehicle Level,1974,Prime Movers,107,
Vehicle Level,1974,Buses > 9 seats,14,
Vehicle Level,1975,Light Rigid Trucks up to 4.5t GVM,203,
Vehicle Level,1975,Heavy Rigid Trucks > 4.5t GVM,1221,
Vehicle Level,1975,Prime Movers,135,
Vehicle Level,1975,Buses > 9 seats,6,
Vehicle Level,1976,Light Rigid Trucks up to 4.5t GVM,242,
Vehicle Level,1976,Heavy Rigid Trucks > 4.5t GVM,1706,
Vehicle Level,1976,Prime Movers,240,
Vehicle Level,1976,Buses > 9 seats,16,
Vehicle Level,1977,Light Rigid Trucks up to 4.5t GVM,309,
Vehicle Level,1977,Heavy Rigid Trucks > 4.5t GVM,1498,
Vehicle Level,1977,Prime Movers,245,
Vehicle Level,1977,Buses > 9 seats,28,
Vehicle Level,1978,Light Rigid Trucks up to 4.5t GVM,298,
Vehicle Level,1978,Heavy Rigid Trucks > 4.5t GVM,1587,
Vehicle Level,1978,Prime Movers,275,
Vehicle Level,1978,Buses > 9 seats,47,
Vehicle Level,1979,Light Rigid Trucks up to 4.5t GVM,302,
Vehicle Level,1979,Heavy Rigid Trucks > 4.5t GVM,1918,
Vehicle Level,1979,Prime Movers,376,
Vehicle Level,1979,Buses > 9 seats,38,
Vehicle Level,1980,Light Rigid Trucks up to 4.5t GVM,276,
Vehicle Level,1980,Heavy Rigid Trucks > 4.5t GVM,2477,
Vehicle Level,1980,Prime Movers,390,
Vehicle Level,1980,Buses > 9 seats,71,
Vehicle Level,1981,Light Rigid Trucks up to 4.5t GVM,345,
Vehicle Level,1981,Heavy Rigid Trucks > 4.5t GVM,2727,
Vehicle Level,1981,Prime Movers,374,
Vehicle Level,1981,Buses > 9 seats,66,
Vehicle Level,1982,Light Rigid Trucks up to 4.5t GVM,363,
Vehicle Level,1982,Heavy Rigid Trucks > 4.5t GVM,2526,
Vehicle Level,1982,Prime Movers,313,
Vehicle Level,1982,Buses > 9 seats,94,
Vehicle Level,1983,Light Rigid Trucks up to 4.5t GVM,263,
Vehicle Level,1983,Heavy Rigid Trucks > 4.5t GVM,2221,
Vehicle Level,1983,Prime Movers,206,
Vehicle Level,1983,Buses > 9 seats,120,
Vehicle Level,1984,Light Rigid Trucks up to 4.5t GVM,530,
Vehicle Level,1984,Heavy Rigid Trucks > 4.5t GVM,3780,
Vehicle Level,1984,Prime Movers,442,
Vehicle Level,1984,Buses > 9 seats,206,
Vehicle Level,1985,Light Rigid Trucks up to 4.5t GVM,818,
Vehicle Level,1985,Heavy Rigid Trucks > 4.5t GVM,5871,
Vehicle Level,1985,Prime Movers,690,
Vehicle Level,1985,Buses > 9 seats,269,
Vehicle Level,1986,Light Rigid Trucks up to 4.5t GVM,687,
Vehicle Level,1986,Heavy Rigid Trucks > 4.5t GVM,4408,
Vehicle Level,1986,Prime Movers,563,
Vehicle Level,1986,Buses > 9 seats,278,
Vehicle Level,1987,Light Rigid Trucks up to 4.5t GVM,680,
Vehicle Level,1987,Heavy Rigid Trucks > 4.5t GVM,3917,
Vehicle Level,1987,Prime Movers,509,
Vehicle Level,1987,Buses > 9 seats,313,
Vehicle Level,1988,Light Rigid Trucks up to 4.5t GVM,1323,
Vehicle Level,1988,Heavy Rigid Trucks > 4.5t GVM,5751,
Vehicle Level,1988,Prime Movers,844,
Vehicle Level,1988,Buses > 9 seats,443,
Vehicle Level,1989,Light Rigid Trucks up to 4.5t GVM,1384,
Vehicle Level,1989,Heavy Rigid Trucks > 4.5t GVM,6257,
Vehicle Level,1989,Prime Movers,863,
Vehicle Level,1989,Buses > 9 seats,601,
Vehicle Level,1990,Light Rigid Trucks up to 4.5t GVM,1322,
Vehicle Level,1990,Heavy Rigid Trucks > 4.5t GVM,5620,
Vehicle Level,1990,Prime Movers,787,
Vehicle Level,1990,Buses > 9 seats,790,
Vehicle Level,1991,Light Rigid Trucks up to 4.5t GVM,970,
Vehicle Level,1991,Heavy Rigid Trucks > 4.5t GVM,3702,
Vehicle Level,1991,Prime Movers,322,
Vehicle Level,1991,Buses > 9 seats,845,
Vehicle Level,1992,Light Rigid Trucks up to 4.5t GVM,1213,
Vehicle Level,1992,Heavy Rigid Trucks > 4.5t GVM,4522,
Vehicle Level,1992,Prime Movers,504,
Vehicle Level,1992,Buses > 9 seats,1151,
Vehicle Level,1993,Light Rigid Trucks up to 4.5t GVM,1229,
Vehicle Level,1993,Heavy Rigid Trucks > 4.5t GVM,4625,
Vehicle Level,1993,Prime Movers,944,
Vehicle Level,1993,Buses > 9 seats,1239,
Vehicle Level,1994,Light Rigid Trucks up to 4.5t GVM,1557,
Vehicle Level,1994,Heavy Rigid Trucks > 4.5t GVM,6143,
Vehicle Level,1994,Prime Movers,1556,
Vehicle Level,1994,Buses > 9 seats,1716,
Vehicle Level,1995,Light Rigid Trucks up to 4.5t GVM,1650,
Vehicle Level,1995,Heavy Rigid Trucks > 4.5t GVM,5514,
Vehicle Level,1995,Prime Movers,1478,
Vehicle Level,1995,Buses > 9 seats,1795,
Vehicle Level,1996,Light Rigid Trucks up to 4.5t GVM,1525,
Vehicle Level,1996,Heavy Rigid Trucks > 4.5t GVM,5292,
Vehicle Level,1996,Prime Movers,1335,
Vehicle Level,1996,Buses > 9 seats,1651,
Vehicle Level,1997,Light Rigid Trucks up to 4.5t GVM,1744,
Vehicle Level,1997,Heavy Rigid Trucks > 4.5t GVM,6195,
Vehicle Level,1997,Prime Movers,1635,
Vehicle Level,1997,Buses > 9 seats,1913,
Vehicle Level,1998,Light Rigid Trucks up to 4.5t GVM,2438,
Vehicle Level,1998,Heavy Rigid Trucks > 4.5t GVM,7754,
Vehicle Level,1998,Prime Movers,2067,
Vehicle Level,1998,Buses > 9 seats,2376,
Vehicle Level,1999,Light Rigid Trucks up to 4.5t GVM,2927,
Vehicle Level,1999,Heavy Rigid Trucks > 4.5t GVM,7589,
Vehicle Level,1999,Prime Movers,1867,
Vehicle Level,1999,Buses > 9 seats,2434,
Vehicle Level,2000,Light Rigid Trucks up to 4.5t GVM,3166,
Vehicle Level,2000,Heavy Rigid Trucks > 4.5t GVM,7471,
Vehicle Level,2000,Prime Movers,1767,
Vehicle Level,2000,Buses > 9 seats,3043,
Vehicle Level,2001,Light Rigid Trucks up to 4.5t GVM,3885,
Vehicle Level,2001,Heavy Rigid Trucks > 4.5t GVM,7187,
Vehicle Level,2001,Prime Movers,1710,
Vehicle Level,2001,Buses > 9 seats,2415,
Vehicle Level,2002,Light Rigid Trucks up to 4.5t GVM,5910,
Vehicle Level,2002,Heavy Rigid Trucks > 4.5t GVM,10182,
Vehicle Level,2002,Prime Movers,2453,
Vehicle Level,2002,Buses > 9 seats,2471,
Vehicle Level,2003,Light Rigid Trucks up to 4.5t GVM,4636,
Vehicle Level,2003,Heavy Rigid Trucks > 4.5t GVM,9623,
Vehicle Level,2003,Prime Movers,3262,
Vehicle Level,2003,Buses > 9 seats,2619,
Vehicle Level,2004,Light Rigid Trucks up to 4.5t GVM,6373,
Vehicle Level,2004,Heavy Rigid Trucks > 4.5t GVM,13174,
Vehicle Level,2004,Prime Movers,3995,
Vehicle Level,2004,Buses > 9 seats,2537,
Vehicle Level,2005,Light Rigid Trucks up to 4.5t GVM,7342,
Vehicle Level,2005,Heavy Rigid Trucks > 4.5t GVM,13566,
Vehicle Level,2005,Prime Movers,4251,
Vehicle Level,2005,Buses > 9 seats,3701,
Vehicle Level,2006,Light Rigid Trucks up to 4.5t GVM,6226,
Vehicle Level,2006,Heavy Rigid Trucks > 4.5t GVM,14922,
Vehicle Level,2006,Prime Movers,4194,
Vehicle Level,2006,Buses > 9 seats,4208,
Vehicle Level,2007,Light Rigid Trucks up to 4.5t GVM,7361,
Vehicle Level,2007,Heavy Rigid Trucks > 4.5t GVM,20484,
Vehicle Level,2007,Prime Movers,7435,
Vehicle Level,2007,Buses > 9 seats,4591,
Vehicle Level,2008,Light Rigid Trucks up to 4.5t GVM,7684,
Vehicle Level,2008,Heavy Rigid Trucks > 4.5t GVM,14438,
Vehicle Level,2008,Prime Movers,3736,
Vehicle Level,2008,Buses > 9 seats,6077,
Vehicle Level,2009,Light Rigid Trucks up to 4.5t GVM,5874,
Vehicle Level,2009,Heavy Rigid Trucks > 4.5t GVM,12428,
Vehicle Level,2009,Prime Movers,2914,
Vehicle Level,2009,Buses > 9 seats,4658,
Vehicle Level,2010,Light Rigid Trucks up to 4.5t GVM,8295,
Vehicle Level,2010,Heavy Rigid Trucks > 4.5t GVM,15329,
Vehicle Level,2010,Prime Movers,5246,
Vehicle Level,2010,Buses > 9 seats,5321,
Vehicle Level,2011,Light Rigid Trucks up to 4.5t GVM,5786,
Vehicle Level,2011,Heavy Rigid Trucks > 4.5t GVM,9780,
Vehicle Level,2011,Prime Movers,3106,
Vehicle Level,2011,Buses > 9 seats,5756,
Vehicle Level,2012,Light Rigid Trucks up to 4.5t GVM,7562,
Vehicle Level,2012,Heavy Rigid Trucks > 4.5t GVM,13611,
Vehicle Level,2012,Prime Movers,5431,
Vehicle Level,2012,Buses > 9 seats,5221,
Vehicle Level,2013,Light Rigid Trucks up to 4.5t GVM,7550,
Vehicle Level,2013,Heavy Rigid Trucks > 4.5t GVM,12114,
Vehicle Level,2013,Prime Movers,5843,
Vehicle Level,2013,Buses > 9 seats,4432,
Vehicle Level,2014,Light Rigid Trucks up to 4.5t GVM,8134,
Vehicle Level,2014,Heavy Rigid Trucks > 4.5t GVM,12571,
Vehicle Level,2014,Prime Movers,5611,
Vehicle Level,2014,Buses > 9 seats,4912,
Vehicle Level,2015,Light Rigid Trucks up to 4.5t GVM,9071,
Vehicle Level,2015,Heavy Rigid Trucks > 4.5t GVM,13118,
Vehicle Level,2015,Prime Movers,4887,
Vehicle Level,2015,Buses > 9 seats,4773,
Vehicle Level,2016,Light Rigid Trucks up to 4.5t GVM,10296,
Vehicle Level,2016,Heavy Rigid Trucks > 4.5t GVM,13256,
Vehicle Level,2016,Prime Movers,4890,
Vehicle Level,2016,Buses > 9 seats,4436,
Vehicle Level,2017,Light Rigid Trucks up to 4.5t GVM,13183,
Vehicle Level,2017,Heavy Rigid Trucks > 4.5t GVM,14789,
Vehicle Level,2017,Prime Movers,6292,
Vehicle Level,2017,Buses > 9 seats,4632,
Vehicle Level,2018,Light Rigid Trucks up to 4.5t GVM,12736,
Vehicle Level,2018,Heavy Rigid Trucks > 4.5t GVM,13680,
Vehicle Level,2018,Prime Movers,6456,
Vehicle Level,2018,Buses > 9 seats,4786,
Vehicle Level,2019,Light Rigid Trucks up to 4.5t GVM,123,
Vehicle Level,2019,Heavy Rigid Trucks > 4.5t GVM,58,
Vehicle Level,2019,Prime Movers,82,
Vehicle Level,2019,Buses > 9 seats,117,
Vehicle Level,2020,Light Rigid Trucks up to 4.5t GVM,0,
Vehicle Level,2020,Heavy Rigid Trucks > 4.5t GVM,0,
Vehicle Level,2020,Prime Movers,0,
Vehicle Level,2020,Buses > 9 seats,0,
Vehicle Level,2021,Light Rigid Trucks up to 4.5t GVM,0,
Vehicle Level,2021,Heavy Rigid Trucks > 4.5t GVM,0,
Vehicle Level,2021,Prime Movers,0,
Vehicle Level,2021,Buses > 9 seats,0,
Vehicle Level,Not stated,Light Rigid Trucks up to 4.5t GVM,347,
Vehicle Level,Not stated,Heavy Rigid Trucks > 4.5t GVM,329,
Vehicle Level,Not stated,Prime Movers,36,
Vehicle Level,Not stated,Buses > 9 seats,21,
Vehicle Level,Total,Light Rigid Trucks up to 4.5t GVM,166794,
Vehicle Level,Total,Heavy Rigid Trucks > 4.5t GVM,353348,
Vehicle Level,Total,Prime Movers,103027,
Vehicle Level,Total,Buses > 9 seats,99331,
,,,,
,,,,
INFO,Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,,,
INFO,Continuous variables in this table have been randomly adjusted to avoid the release of confidential data.,,,
,,,,
,,,,
Symbol,Description,,,
#,No scaling applied,,,
,,,,
,,,,
"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright",,,,
"ABS data licensed under Creative Commons, see abs.gov.au/ccby",,,,
