Australian Bureau of Statistics,,,,,
,,,,,
"Motor Vehicle Use, 2018 - Number of vehicles",,,,,
Vehicle type and Year of manufacture groups by Weighted sum of Number of vehicles,,,,,
Counting: Weighted sum of Number of vehicles,,,,,
,,,,,
Vehicle type,Year of manufacture groups,Summation Options,Count,RSE,Annotations
Rigid trucks,2002 and earlier,Weighted sum of Number of vehicles (^),187632.4,2.08,
Rigid trucks,2003 to 2012,Weighted sum of Number of vehicles (^),199370.1,1.95,
Rigid trucks,2013 and after,Weighted sum of Number of vehicles (^),108036.2,1.88,
Articulated trucks,2002 and earlier,Weighted sum of Number of vehicles (^),27664.5,3.67,
Articulated trucks,2003 to 2012,Weighted sum of Number of vehicles (^),45033.1,2.27,
Articulated trucks,2013 and after,Weighted sum of Number of vehicles (^),27007.8,0.72,
Non-freight carrying trucks,2002 and earlier,Weighted sum of Number of vehicles (^),7839.5,9.11,
Non-freight carrying trucks,2003 to 2012,Weighted sum of Number of vehicles (^),9399.5,9.61,
Non-freight carrying trucks,2013 and after,Weighted sum of Number of vehicles (^),6668.3,16.06,
Buses,2002 and earlier,Weighted sum of Number of vehicles (^),22444,7.33,
Buses,2003 to 2012,Weighted sum of Number of vehicles (^),40137,5.5,
Buses,2013 and after,Weighted sum of Number of vehicles (^),21733.9,8.15,
Total,2002 and earlier,Weighted sum of Number of vehicles (^),245580.3,1.77,
Total,2003 to 2012,Weighted sum of Number of vehicles (^),293939.8,1.6,
Total,2013 and after,Weighted sum of Number of vehicles (^),163446.2,1.68,
,,,,,
,,,,,
Symbol,Description,,,,
^,,,,,
,,,,,
,,,,,
"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright",,,,,
"ABS data licensed under Creative Commons, see abs.gov.au/ccby",,,,,
